name,type,description,cost,upkeep,threshold,hit_points,arcane,attack_trait,defend_trait,attack_count,attack_dice,attack_mod,counter_count,counter_dice,counter_mod,quality_1,quality_2
Ancient Mechanisms,wealth,"Some useful magical mechanism from ages past has been refitted to be useful in local industry. Whenever an Asset in the same location must roll to make a profit, such as Farmers or Manufactory, the faction may roll the die twice and take the better result.",8,0,3,4,Medium,None,None,0,0,0,0,0,0,Special,None
Ancient Workshop,wealth,"A workshop has been refitted with ancient magical tools, allowing prodigies of production, albeit not always safely. As a free action, once per turn, the Ancient Workshop takes 1d6 damage and the owning faction gains 1d6 Treasure.",25,0,7,16,Medium,None,None,0,0,0,0,0,0,None,None
Arcane Laboratory,wealth,The faction’s overall Magic is counted as one step higher for the puposes of creating Assets in the same location as the laboratory. Multiple Arcane Laboratories in the same location can increase the Magic boost by multiple steps.,6,0,3,4,None,None,None,0,0,0,0,0,0,Action,Special
Armed Guards,wealth,"Hired caravan guards, bodyguards, or other armed minions serve the faction.",1,0,1,3,None,Wealth,Force,1,3,0,1,4,0,Subtle,Special
Caravan,wealth,"As a free action, once per turn, the Caravan can spend 1 Treasure and move itself and one other Asset in the same place to a new location within one move.",5,0,2,4,None,Wealth,Wealth,1,4,0,0,0,0,Subtle,Special
Cooperative Businesses,wealth,"If any other faction attempts to create an Asset in the same location as a Cooperative Business, the cost of doing so increases by 1 Treasure. This penalty stacks.",1,0,1,2,None,Wealth,Wealth,1,4,-1,0,0,0,Action,None
Dragomans,wealth,"Interpreters, cultural specialists, and go-betweens simplify the expansion of a faction’s influence in an area. A faction that takes an Expand Influence action in the same location as this Asset can roll an extra die. As a free action once per turn, this Asset can move to a new location.",4,0,2,4,None,None,None,0,0,0,1,4,0,Special,None
Economic Disruption,wealth,"As a free action once per turn, this Asset can move itself without cost.",25,0,6,10,None,Wealth,Wealth,2,6,0,0,0,0,Action,None
Farmers,wealth,"Farmers, hunters, and simple rural artisans are in service to the faction here. Once per turn, as a free action, the Asset’s owner can roll 1d6; on a 5+, they gain 1 Treasure from the Farmers.",2,0,1,4,None,None,None,0,0,0,1,4,0,Subtle,None
Free Comany,wealth,"Hired mercenaries and professional soldiers, this Asset can, as a free action once per turn, move itself. At the start of each of its owner’s turn, it takes 1 Treasure in upkeep costs; if this is not paid, roll 1d6. On a 1-3 the Asset is lost, on a 4-6 it goes rogue and will move to Attack the most profitable-looking target. This roll is repeated each turn until back pay is paid or the Asset is lost.",8,1,3,6,None,Wealth,Force,2,4,2,1,6,0,Action,None
Front Merchant,wealth,"Whenever the Front Merchant successfully Attacks an enemy Asset, the target faction loses 1 Treasure, if they have any, and the Front Merchant’s owner gains it. Such a loss can occur only once per turn.",2,0,1,3,None,Wealth,Wealth,1,4,0,1,4,1,Action,None
Golden Prosperity,wealth,"Each turn, as a free action, the faction gains 1d6 Treasure that can be used to fix damaged Assets as if by the Repair Assets action. Any of this Treasure not spent on such purposes is lost.",40,0,8,30,Medium,None,None,0,0,0,2,10,0,Action,None
Healers,wealth,"Whenever an Asset within one move of the Healers is destroyed by an Attack that used Force against the target, the owner of the Healers may pay half its purchase price in Treasure to instantly restore it with 1 hit point. This cannot be used to repair Bases of Influence.",12,0,4,8,None,None,None,0,0,0,0,0,0,Action,None
Hired Legion,wealth,"As a free action once per turn, the Hired Legion can move. This faction must be paid 2 Treasure at the start of each turn as upkeep, or else they go rogue as the Free Company Asset does. This Asset cannot be voluntarily sold or disbanded.",30,2,8,20,None,Wealth,Force,2,10,4,2,10,0,None,None
Lead or Silver,wealth,"If Lead or Silver’s Attack reduces an enemy Asset to zero hit points, this Asset’s owner may immediately pay half the target’s purchase cost to claim it as their own, reviving it with 1 hit point.",20,0,7,10,None,Wealth,Wealth,2,10,0,2,8,0,Action,None
Mad Genius,wealth,"As a free action, once per turn, the Mad Genius may move. As a free action, once per turn, the Mad Genius may be sacrificed to treat the Magic rating in their location as High for the purpose of buying Assets that require such resources. This boost lasts only until the next Asset is purchased in that location.",6,0,5,2,None,Wealth,Cunning,1,6,0,0,0,0,Subtle,Action
Manufactory,wealth,"Once per turn, as a free action. the Asset’s owner may roll 1d6; on a 1, one point of Treasure is lost, on a 2-5, one point is gained, and on a 6, two points are gained. If Treasure is lost and none is available to pay it by the end of the turn, this Asset is lost.",8,0,3,4,None,None,None,0,0,0,1,4,0,Action,None
Merchant Prince,wealth,"A canny master of trade, the Merchant Prince may be triggered as a free action once per turn before buying a new Asset in the same location; the Merchant Prince takes 1d4 damage and the purchased Asset costs 1d8 Treasure less, down to a minimum of half its normal price.",20,0,6,10,None,Wealth,Wealth,2,8,0,1,8,0,Action,None
Monopoly,wealth,"Once per turn, as a free action, the Monopoly Asset can target an Asset in the same location; that Asset’s owning faction must either pay the Monopoly’s owner 1 Treasure or lose the targeted Asset.",8,0,4,12,None,Wealth,Wealth,1,6,0,1,6,0,Special,None
Occult Countermeasures,wealth,This asset can only Attack or inflict Counterattack damage on Assets that require at least a Low Magic rating to purchase.,10,0,4,8,Low,Wealth,Cunning,2,10,0,1,10,0,Action,None
Pleaders,wealth,"Whether lawyers, skalds, lawspeakers, sage elders, or other legal specialists, Pleaders can turn the local society’s laws against the enemies of the faction. However, Pleaders can neither Attack nor inflict Counterattack damage on Force Assets.",6,0,2,4,None,Cunning,Wealth,2,4,0,1,6,0,None,None
Smuggling Fleet,wealth,"Once per turn, as a free action, they may move themselves and any one Asset at their current location to any other water-accessible location within one move. Any Asset they move with them gains the Subtle quality until they take some action at the destination.",12,0,5,6,None,Wealth,Force,2,6,0,0,0,0,Subtle,Action
Supply Interuption,wealth,"As a free action, once per turn, the Asset can make a Cunning vs. Wealth check against an Asset in the same location. On a success, the owning faction must sacrifice Treasure equal to half the target Asset’s purchase cost, or else it is disabled and useless until this price is paid.",10,0,5,8,None,Cunning,Wealth,1,6,0,0,0,0,Subtle,Action
Trade Company,wealth,"Bold traders undertake potentially lucrativeor catastrophicnew business opportunities. As a free action, once per turn, the owner of the Asset may roll accept 1d4 damage done to the Asset in exchange for earning 1d6-1 Treasure points.",15,0,6,10,None,Wealth,Wealth,2,6,0,1,6,0,None,None
Transport Network,wealth,"A vast array of carters, ships, smugglers, and official caravans are under the faction’s control. As a free action the Transport Network can spend 1 Treasure to move any friendly Asset within two moves to any location within one move of either the target or the Transport Network.",15,0,7,5,None,Wealth,Wealth,1,12,0,0,0,0,None,None
Usurers,wealth,"Moneylenders and other proto-bankers ply their trade for the faction. For each unit of Usurers owned by a faction, the Treasure cost of buying Assets may be decreased by 2 Treasure, to a minimum of half its cost. Each time the Usurers are used for this benefit, they suffer 1d4 damage from popular displeasure.",12,0,4,8,None,Wealth,Wealth,1,10,0,0,0,0,Action,None
Worker Mob,wealth,"The roughest, most brutal laborers in service with the faction have been quietly organized to sternly discipline the enemies of the group.",4,0,2,6,None,Wealth,Force,1,4,1,1,4,0,Special,None
Bewitching Charmer,cunning,"When the Bewitching Charmer succeeds in an Attack, the targeted Asset is unable to leave the same location as the Bewitching Charmer until the latter Asset moves or is destroyed. Bewitching Charmers are immune to Counterattack.",6,0,3,4,Low,Cunning,Cunning,0,0,0,0,0,0,Subtle,Special
Blackmail,cunning,"When a Blackmail asset is in a location, hostile factions can’t roll more than one die during Attacks made by or against them there, even if they have tags or Assets that usually grant bonus dice.",4,0,2,3,None,Cunning,Cunning,1,4,0,0,0,0,Subtle,Special
Court Patronage,cunning,"Powerful nobles or officials are, appointing their agents to useful posts of profit. A Court Patronage Asset automatically grants 1 Treasure to its owning faction each turn.",8,-1,4,8,None,Cunning,Cunning,1,6,0,1,6,0,Subtle,Special
Covert Transport,cunning,"As a free action once per turn, the faction can pay 1 Treasure and move any Cunning or Wealth Asset at the same location as the Covert Transport. The transported Asset gains the Stealth quality until it performs some action or is otherwise utilized by the faction.",8,0,3,4,None,None,None,0,0,0,0,0,0,Subtle,Special
Cryptomancers,cunning,"In place of an Attack action, they can make a Cunning vs. Cunning attack on a specific hostile Asset within one move. On a success, the targeted Asset is unable to do anything or be used for anything on its owner’s next faction turn. On a failure, no Counterattack damage is taken.",14,0,5,6,Low,Cunning,Cunning,0,0,0,0,0,0,Subtle,Special
Dancing Girls,cunning,"Dancing Girls or other charming distractions are immune to Attack or Counterattack damage from Force Assets, but they cannot be used to defend against Attacks from Force Assets.",4,0,2,3,None,Cunning,Wealth,2,4,0,0,0,0,Subtle,Special
Expert Treachery,cunning,"On a successful Attack by Expert Treachery, this Asset is lost, 5 Treasure is gained by its owning faction, and the Asset that Expert Treachery targeted switches sides. This conversion happens even if their new owners lack the attributes usually necessary to maintain their new Asset.",10,0,7,5,None,Cunning,Cunning,0,0,0,0,0,0,Subtle,Special
